reporte,categoria
No me deja cambiar la contraseña,Problema de acceso
El sistema se congela con el software de diseño,Soporte de software
Micrófono no capta audio,Reparación de dispositivos
Error de IP duplicada,Problema de red
Me pide verificación pero no recibo el código,Problema de acceso
El teclado no funciona correctamente,Reparación de dispositivos
La aplicación no responde,Soporte de software
No puedo acceder a recursos compartidos,Problema de red
Correo electrónico no sincroniza,Problema de servicio
Deseo crear un servidor local,Soporte de red
No accede al router,Problema de red
Error al guardar archivos en la nube,Soporte de software
No puedo acceder a recursos compartidos,Problema de red
El monitor parpadea constantemente,Problema técnico
Error al guardar archivos en la nube,Soporte de software
Error de IP duplicada,Problema de red
El ratón está dañado,Reparación de dispositivos
No se conecta al servidor interno,Problema de red
No accede al router,Problema de red
Correo electrónico no sincroniza,Problema de servicio
Hay un pitido al encender el equipo,Problema técnico
Altavoces no emiten sonido,Reparación de dispositivos
Pantalla táctil no responde,Reparación de dispositivos
Configuración del firewall me impide navegar,Soporte de red
Problemas al instalar controladores,Soporte de software
Hay un pitido al encender el equipo,Problema técnico
El ventilador del CPU hace mucho ruido,Problema técnico
Problemas al instalar controladores,Soporte de software
No puedo acceder a recursos compartidos,Problema de red
Servicio de almacenamiento no disponible,Problema de servicio
Problemas con la VPN de la empresa,Problema de red
No carga el programa de contabilidad,Soporte de software
Interrupción del servicio de respaldo,Problema de servicio
La impresora no prende,Reparación de dispositivos
Micrófono no capta audio,Reparación de dispositivos
No sale tinta de la impresora,Reparación de dispositivos
Correo electrónico no sincroniza,Problema de servicio
La computadora se apaga sola,Problema técnico
El ratón está dañado,Reparación de dispositivos
Pantalla negra al encender el equipo,Problema técnico
La conexión va muy lenta,Problema de red
Acceso denegado al sistema,Problema de acceso
No puedo ingresar a mi perfil,Problema de acceso
Necesito establecer una IP fija,Soporte de red
Deseo crear un servidor local,Soporte de red
La aplicación se cierra sola,Soporte de software
No me deja cambiar la contraseña,Problema de acceso
La computadora no prende,Problema técnico
Correo electrónico no sincroniza,Problema de servicio
La aplicación se cierra sola,Soporte de software
No se detecta el disco duro,Problema técnico
Problemas con la VPN de la empresa,Problema de red
El ratón está dañado,Reparación de dispositivos
Problemas configurando el módem nuevo,Soporte de red
Necesito ayuda para configurar una red doméstica,Soporte de red
El wifi se desconecta cada rato,Problema de red
No carga el programa de contabilidad,Soporte de software
Olvidé mi contraseña del correo,Problema de acceso
La tablet no carga,Reparación de dispositivos
Quiero crear una red de invitados,Soporte de red
Problemas con la actualización de Windows,Soporte de software
La computadora no prende,Problema técnico
Fallo en el servicio de mensajería,Problema de servicio
La conexión va muy lenta,Problema de red
Necesito ayuda para configurar una red doméstica,Soporte de red
Error al guardar archivos en la nube,Soporte de software
